activity_id,attraction_id,activity_name,activity_full_name,activity_description,activities_keywords,min_duration,max_duration,price,currency
96,42,Touring the Sydney Opera House,"Touring the Sydney Opera House, Australia","Take a guided tour of the Sydney Opera House, a masterpiece of modern architecture and a cultural hub.","Educational, Architecture, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Australia & Oceania, Urban Centers, Popular Tourist Destinations, Indoor, Half-Day",1 hour,2 hours,40,AUD
97,43,Bungee Jumping in New Zealand,"Bungee Jumping in Queenstown, New Zealand",Experience the thrill of a lifetime by bungee jumping from the historic Kawarau Bridge in Queenstown.,"Adventure, Advanced, Outdoor, Adrenaline-Pumping, Unique Experience, Bucket List, Australia & Oceania, Remote Locations, Scenic, Moderate Risk, Half-Day",30 minutes,1 hour,150,NZD
98,44,Seeing the Midnight Sun,Seeing the Midnight Sun in Norway,"Witness the natural phenomenon of the Midnight Sun in the Arctic Circle, where the sun never sets.","Adventure, Intermediate, Outdoor, Scenic, Unique Experience, Bucket List, Europe, Remote Locations, Arctic & Antarctic, Seasonal, Half-Day, Full-Day",3 hours,5 hours,80,NOK
99,45,Exploring the Alhambra,Exploring the Alhambra in Granada,"Tour the Alhambra, a stunning palace and fortress complex from the Moorish era, overlooking Granada.","Educational, History, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Europe, Urban Centers, Popular Tourist Destinations, Architecture, Half-Day",2 hours,4 hours,15,EUR
100,46,Visiting the Acropolis,Visiting the Acropolis in Athens,"Explore the ancient Acropolis of Athens, home to the Parthenon and other historic ruins.","Educational, History, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Europe, Urban Centers, Popular Tourist Destinations, Architecture, Half-Day",2 hours,3 hours,20,EUR
101,47,Diving in the Red Sea,"Diving in the Red Sea, Egypt","Dive into the crystal-clear waters of the Red Sea, famous for its vibrant coral reefs and marine life.","Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Unique Experience, Bucket List, Middle East, Coastal Regions, Remote Locations, Underwater, Half-Day, Full-Day",1 hour,2 hours,200,USD
102,48,Kayaking in Ha Long Bay,"Kayaking in Ha Long Bay, Vietnam","Paddle through the emerald waters and towering limestone karsts of Ha Long Bay, a UNESCO World Heritage site.","Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Unique Experience, Bucket List, Asia, Coastal Regions, Remote Locations, UNESCO World Heritage Sites, Half-Day, Full-Day",2 hours,4 hours,50,USD
103,49,Visiting the Forbidden City,Visiting the Forbidden City in Beijing,"Walk through the Forbidden City, the imperial palace of the Ming and Qing Dynasties in China.","Educational, History, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Asia, Urban Centers, Popular Tourist Destinations, Architecture, Half-Day, Full-Day",2 hours,3 hours,10,CNY
104,50,Exploring the Amazon Rainforest,"Exploring the Amazon Rainforest, Brazil","Venture into the Amazon Rainforest on a guided eco-tour, discovering its diverse wildlife and ecosystems.","Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Unique Experience, Bucket List, South America, Remote Locations, National Parks, Conservation-Focused, Multi-Day",4 days,7 days,2000,USD
105,51,Paragliding in Interlaken,"Paragliding in Interlaken, Switzerland","Soar above the stunning landscapes of Interlaken, including views of the Swiss Alps and lakes.","Adventure, Advanced, Outdoor, Scenic, Adrenaline-Pumping, Unique Experience, Bucket List, Europe, Mountain Regions, Moderate Risk, Half-Day",1 hour,1.5 hours,180,CHF
106,52,Exploring Chichen Itza,"Exploring Chichen Itza, Mexico","Visit the ancient Mayan city of Chichen Itza, home to the iconic pyramid of El Castillo.","Educational, History, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, North America, Remote Locations, Popular Tourist Destinations, Architecture, Half-Day",2 hours,3 hours,25,USD
107,53,Sailing in the Greek Islands,Sailing in the Greek Islands,"Cruise through the beautiful Greek Islands, stopping to explore historic ruins and picturesque villages.","Adventure, Intermediate, Outdoor, Scenic, Nature & Wildlife, Unique Experience, Bucket List, Europe, Islands, Coastal Regions, Popular Tourist Destinations, Half-Day, Full-Day",4 hours,8 hours,120,EUR
108,54,Visiting Machu Picchu,"Visiting Machu Picchu, Peru","Explore the ancient Incan city of Machu Picchu, set high in the Andes Mountains.","Educational, History, Guided, Traditional, Scenic, Bucket List, UNESCO World Heritage Sites, South America, Mountain Regions, Remote Locations, Popular Tourist Destinations, Architecture, Half-Day, Full-Day",2 hours,4 hours,50,USD
109,55,Hot Air Ballooning over Luxor,"Hot Air Ballooning over Luxor, Egypt","Experience Luxor from above in a hot air balloon, offering stunning views of ancient temples and the Nile River.","Adventure, Intermediate, Outdoor, Scenic, Unique Experience, Bucket List, Middle East, Desert Activities, Popular Tourist Destinations, Hot Climate, Half-Day",1 hour,1.5 hours,150,EGP
110,56,Exploring the Venice Canals,"Exploring the Venice Canals, Italy","Navigate through the winding canals of Venice in a traditional gondola, experiencing the city from the water.","Scenic, Architecture, Guided, Traditional, Bucket List, Europe, Urban Centers, Popular Tourist Destinations, Coastal Regions, Half-Day",1 hour,1.5 hours,80,EUR
111,57,Zip-lining in Costa Rica,Zip-lining in the Rainforests of Costa Rica,Fly above the treetops of Costa Rica's rainforests on a thrilling zip-lining adventure.,"Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Adrenaline-Pumping, Unique Experience, Bucket List, Central America, Remote Locations, Moderate Risk, Half-Day",2 hours,3 hours,70,USD
112,58,Touring the Palace of Versailles,"Touring the Palace of Versailles, France","Explore the opulent Palace of Versailles, including its grand halls, gardens, and fountains.","Educational, History, Guided, Traditional, Architecture, Bucket List, UNESCO World Heritage Sites, Europe, Urban Centers, Popular Tourist Destinations, Half-Day",2 hours,4 hours,18,EUR
113,59,Hiking in the Swiss Alps,"Hiking in the Swiss Alps, Switzerland","Embark on a scenic hike through the Swiss Alps, offering breathtaking views of mountains and valleys.","Adventure, Advanced, Outdoor, Scenic, Nature & Wildlife, Unique Experience, Bucket List, Europe, Mountain Regions, Remote Locations, National Parks, High Exertion, Multi-Day",4 hours,8 hours,0,CHF
114,60,Visiting the Blue Mosque,Visiting the Blue Mosque in Istanbul,"Tour the iconic Blue Mosque in Istanbul, known for its stunning architecture and intricate tilework.","Educational, History, Guided, Traditional, Architecture, Bucket List, UNESCO World Heritage Sites, Middle East, Urban Centers, Popular Tourist Destinations, Half-Day",1 hour,2 hours,10,TRY
115,61,Whale Watching in Alaska,"Whale Watching in Alaska, USA",Set out on a boat tour to witness the majestic whales in the waters of Alaska.,"Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Unique Experience, Bucket List, North America, Coastal Regions, Remote Locations, Cold Climate, Half-Day",2 hours,4 hours,150,USD
116,62,Touring the Kremlin,Touring the Kremlin in Moscow,"Visit the historic Kremlin, the heart of Russian politics and culture, and see its cathedrals and palaces.","Educational, History, Guided, Traditional, Architecture, Bucket List, UNESCO World Heritage Sites, Europe, Urban Centers, Popular Tourist Destinations, Half-Day",2 hours,3 hours,15,RUB
117,63,Visiting the Giant’s Causeway,"Visiting the Giant’s Causeway, Northern Ireland","Explore the unique basalt columns of the Giant’s Causeway, a natural wonder along the Northern Irish coast.","Educational, History, Guided, Nature & Wildlife, Scenic, Unique Experience, Bucket List, Europe, Coastal Regions, Remote Locations, UNESCO World Heritage Sites, Half-Day",1 hour,2 hours,0,GBP
118,64,Touring the Rijksmuseum,Touring the Rijksmuseum in Amsterdam,"Discover the art and history of the Netherlands at the Rijksmuseum, home to works by Rembrandt and Vermeer.","Educational, Art & Design, Guided, Traditional, Architecture, Bucket List, UNESCO World Heritage Sites, Europe, Urban Centers, Popular Tourist Destinations, Indoor, Half-Day",2 hours,4 hours,20,EUR
119,65,Hiking to the Hollywood Sign,Hiking to the Hollywood Sign in Los Angeles,Hike up to the iconic Hollywood Sign for panoramic views of Los Angeles.,"Adventure, Intermediate, Outdoor, Scenic, Nature & Wildlife, Unique Experience, Bucket List, North America, Urban Centers, Popular Tourist Destinations, Moderate Exertion, Half-Day",2 hours,3 hours,0,USD
120,66,Exploring Stonehenge,Exploring Stonehenge in Wiltshire,"Visit the prehistoric monument of Stonehenge, shrouded in mystery and history.","Educational, History, Guided, Traditional, Architecture, Bucket List, UNESCO World Heritage Sites, Europe, Remote Locations, Popular Tourist Destinations, Half-Day",1 hour,2 hours,20,GBP
121,67,Exploring the Iguazu Falls,"Exploring the Iguazu Falls, Argentina/Brazil","Witness the awe-inspiring Iguazu Falls, one of the largest waterfall systems in the world.","Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Unique Experience, Bucket List, South America, Coastal Regions, Remote Locations, UNESCO World Heritage Sites, Half-Day, Full-Day",3 hours,5 hours,30,USD
122,68,Touring the Sagrada Familia,Touring the Sagrada Familia in Barcelona,"Explore Antoni Gaudí’s unfinished masterpiece, the Sagrada Familia, a symbol of Barcelona.","Educational, Art & Design, Guided, Traditional, Architecture, Bucket List, UNESCO World Heritage Sites, Europe, Urban Centers, Popular Tourist Destinations, Half-Day",2 hours,3 hours,20,EUR
123,69,Visiting the Neuschwanstein Castle,Visiting Neuschwanstein Castle in Bavaria,"Tour the fairy-tale Neuschwanstein Castle, the inspiration for Disney’s Sleeping Beauty Castle.","Educational, History, Guided, Traditional, Architecture, Bucket List, UNESCO World Heritage Sites, Europe, Mountain Regions, Popular Tourist Destinations, Half-Day",1 hour,2 hours,15,EUR
124,70,Exploring the Amalfi Coast,"Exploring the Amalfi Coast, Italy","Drive along the stunning Amalfi Coast, stopping in charming towns like Positano and Amalfi.","Scenic, Architecture, Guided, Traditional, Nature & Wildlife, Bucket List, Europe, Coastal Regions, Popular Tourist Destinations, Half-Day, Full-Day",4 hours,8 hours,0,EUR
